bat_SB,Year,bat_AB,bat_SF,bat_TB,bat_CS,bat_SH,bat_2B,bat_PA,bat_1B,bat_SO,bat_H,bat_HBP,bat_GIDP,bat_R,bat_BB,bat_FO,bat_G,bat_3B,bat_GO,bat_RBI,bat_HR,bat_IBB,bat_BB_percent,bat_K_percent,pit_BF,pit_BK,pit_SHO,pit_IP,pit_ER,pit_W,pit_NBB,pit_SO,pit_GR,pit_SV,pit_H,pit_HBP,pit_HLD,pit_BB,pit_R,pit_FO,pit_G,pit_GO,pit_BS,pit_WP,pit_L,pit_HR,pit_NP,pit_IBB,pit_CG,pit_GS,fld_G,fld_TC,fld_PO,fld_A,fld_E,fld_DP,fld_TP,fld_PB,fld_CS,fld_SB,fld_POS_main,Win,Lose,Tie,Name_Display,Team_Display,Year_Display,Real_OPS
0.0,2024,260.0,1.0,110.0,0.0,1.0,14.0,289.0,56.0,38.0,77.0,2.0,5.0,27.0,25.0,90.0,77.0,2.0,57.0,35.0,5.0,1.0,0.08650519031141868,0.1314878892733564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,384.0,349.0,27.0,8.0,37.0,0.0,0.0,0.0,0.0,0,62.0,57.0,1.0,廖健富,樂天,2024,0.7841880341880342
14.0,2023,438.0,1.0,148.0,7.0,16.0,14.0,510.0,110.0,50.0,127.0,16.0,13.0,62.0,39.0,122.0,120.0,2.0,156.0,40.0,1.0,0.0,0.07647058823529412,0.09803921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,241.0,232.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,4,60.0,56.0,4.0,成晉,樂天,2023,0.7063205960105743
10.0,2023,335.0,2.0,128.0,2.0,1.0,13.0,374.0,51.0,64.0,77.0,9.0,9.0,46.0,27.0,100.0,99.0,1.0,97.0,45.0,12.0,1.0,0.07219251336898395,0.1711229946524064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,225.0,214.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,4,48.0,67.0,5.0,申皓瑋,富邦,2023,0.6850386139010043
3.0,2024,405.0,9.0,153.0,1.0,0.0,17.0,450.0,74.0,78.0,103.0,10.0,15.0,48.0,26.0,121.0,114.0,3.0,112.0,60.0,9.0,1.0,0.057777777777777775,0.17333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,242.0,235.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,4,53.0,66.0,1.0,申皓瑋,富邦,2024,0.6866666666666666
0.0,2024,296.0,3.0,98.0,0.0,8.0,12.0,348.0,63.0,43.0,78.0,11.0,9.0,26.0,30.0,102.0,101.0,1.0,84.0,30.0,2.0,0.0,0.08620689655172414,0.1235632183908046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,272.0,154.0,111.0,7.0,22.0,0.0,0.0,0.0,0.0,0,49.0,70.0,1.0,杜家明,台鋼,2024,0.681081081081081
11.0,2023,246.0,3.0,81.0,5.0,6.0,12.0,284.0,27.0,47.0,47.0,2.0,5.0,26.0,27.0,84.0,99.0,2.0,77.0,32.0,6.0,1.0,0.09507042253521127,0.16549295774647887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,130.0,127.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4,57.0,58.0,5.0,陳文杰,中信,2023,0.6026495876469556
11.0,2024,404.0,3.0,152.0,5.0,14.0,27.0,463.0,73.0,67.0,107.0,6.0,5.0,55.0,36.0,136.0,107.0,3.0,111.0,42.0,4.0,0.0,0.07775377969762419,0.1447084233261339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,310.0,296.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,4,49.0,70.0,1.0,陳文杰,台鋼,2024,0.7080861761009063
13.0,2023,426.0,4.0,133.0,5.0,2.0,11.0,454.0,103.0,41.0,116.0,1.0,9.0,49.0,21.0,129.0,104.0,0.0,146.0,44.0,2.0,1.0,0.046255506607929514,0.09030837004405286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,236.0,77.0,153.0,6.0,13.0,0.0,0.0,0.0,0.0,2,57.0,58.0,5.0,王威晨,中信,2023,0.6175163072832274
8.0,2024,269.0,1.0,112.0,5.0,2.0,17.0,299.0,57.0,26.0,80.0,1.0,2.0,33.0,26.0,80.0,75.0,3.0,86.0,34.0,3.0,1.0,0.08695652173913043,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,160.0,61.0,95.0,4.0,15.0,0.0,0.0,0.0,0.0,2,70.0,50.0,0.0,王威晨,中信,2024,0.7766262375927804
13.0,2024,403.0,5.0,160.0,3.0,0.0,25.0,478.0,80.0,86.0,113.0,9.0,10.0,53.0,61.0,128.0,110.0,2.0,81.0,60.0,6.0,1.0,0.12761506276150628,0.1799163179916318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,213.0,209.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4,49.0,70.0,1.0,王柏融,台鋼,2024,0.7798675207907224
